Id,SalePrice
1461,131245.2555837906
1462,168017.69393493433
1463,185941.06925012486
1464,187445.27956852654
1465,187290.30553388596
1466,173419.69162464142
1467,171537.15960895325
1468,163497.91543935038
1469,173980.78684968606
1470,129458.38279404127
1471,206901.4639896482
1472,95435.92358990795
1473,93950.80360455032
1474,150475.6177594567
1475,123709.77109240968
1476,401619.24125831283
1477,254182.36034610693
1478,292684.2088050605
1479,288007.122803465
1480,492305.1195536865
1481,319368.8091853426
1482,210348.29793269307
1483,178532.63125462006
1484,167068.62830563838
1485,176620.11603264985
1486,196939.3024280823
1487,339640.37654603954
1488,230358.21928410145
1489,212568.46352364772
1490,219220.36149115142
1491,192970.32703137712
1492,95737.91040929114
1493,174813.77039354405
1494,288278.7458738765
1495,289023.699519543
1496,243422.59892056312
1497,187061.82730684342
1498,158702.99685515958
1499,157135.2717284078
1500,154261.52049686507
1501,183514.27257823377
1502,156970.40357416112
1503,296354.5940837392
1504,239877.36291108234
1505,222506.97526504233
1506,193556.83851643163
1507,252202.7312619643
1508,201027.10159955695
1509,159224.10246869488
1510,147233.95199452734
1511,145885.80744183293
1512,175138.23221796428
1513,144000.88450714864
1514,181988.94085572238
1515,201462.21059898045
1516,149177.46528705774
1517,160308.08562415864
1518,153257.44846650897
1519,228013.9081180548
1520,133198.8289782416
1521,136570.80549625325
1522,168245.25819827398
1523,108544.14236297763
1524,119900.67044216619
1525,119304.01239892247
1526,117103.16392588275
1527,108552.73727018926
1528,129563.57033786314
1529,145655.37960697873
1530,164023.33316517973
1531,124823.54144693093
1532,98290.31161202092
1533,151089.58939946696
1534,118802.30558987455
1535,140582.72122177624
1536,106503.37706564784
1537,66932.15384418624
1538,166527.74754740048
1539,218024.66507875948
1540,127849.02865151258
1541,133288.80760332756
1542,143094.32021847757
1543,227478.54829883066
1544,82617.23497678249
1545,113295.11101472384
1546,132617.01876833919
1547,135936.36174962606
1548,133912.55998345523
1549,115238.51221340983
1550,139886.04707431752
1551,111898.99733017752
1552,143511.17459753636
1553,146536.41765664233
1554,112031.57909316098
1555,181308.9102508297
1556,93904.53344522291
1557,102934.7144970342
1558,97642.05112705483
1559,110774.98339405315
1560,141549.59693262857
1561,146097.00597916124
1562,130473.80421409613
1563,119124.01553895313
1564,166152.65634340106
1565,139796.41951574726
1566,228621.1262786563
1567,73402.83307435752
1568,229876.61465719578
1569,156199.0357577682
1570,139429.08769595064
1571,126241.95633022892
1572,149140.810420756
1573,249695.14315298296
1574,116098.49564589345
1575,219017.49618719966
1576,234898.28943817178
1577,194015.85856297167
1578,144832.02297015098
1579,149478.63748679787
1580,194610.31240068603
1581,163443.20142053592
1582,131868.2508470359
1583,309442.72782346583
1584,227518.15922201128
1585,143694.28791592777
1586,76416.05507365678
1587,95747.67699856636
1588,149361.1631667929
1589,109353.18334525211
1590,130288.27284532302
1591,93623.21663902253
1592,118778.5063794168
1593,126369.90836745044
